id,type,name,status,description,epic,startTime,duration,
1,TASK,Проверка таски,DONE,Сохранилась ли таска в файл,null,null,null,
2,TASK,Проверка таски1,NEW,Сохранилась ли таска в файл1,null,null,null,
8,TASK,Проверка Таски2,NEW,Сохранилалсь ли таска 2,null,null,null,
6,SUBTASK,Проверка СабТаски,NEW,Сохарнился ли файл,3,2024-03-31T09:40,20,
7,SUBTASK,Проверка Сабтаски1,NEW,Соханился ли файл1,3,null,null,
3,EPIC,Проверка Эпика,NEW,Сохранился ли в файл эпик,null,2024-03-31T09:40,20,
4,EPIC,Проверка Эпика,NEW,Сохранился ли в файл эпик,null,null,null,
5,EPIC,Проверка Эпика,NEW,Сохранился ли в файл эпик,null,null,null,

3,6,7,
